,operateur,libelle_categorie_consommation,libelle_grand_secteur,libelle_secteur_naf2,conso,pdl,indqual,nombre_mailles_secretisees,libelle_region
1,Régie de Saint Paul Cap de Joux,Petits professionels,Industrie,0,71.0,1,0.5,0,Occitanie
2,Régie de Saint Paul Cap de Joux,Résidentiel,Résidentiel,0,1580.0,317,0.5,0,Occitanie
3,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Entreprises,Industrie,0,191.215,1,1.0,0,Auvergne-Rhône-Alpes
4,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Entreprises,Tertiaire,Hébergement,5710.844,45,0.908,0,Auvergne-Rhône-Alpes
5,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Entreprises,Tertiaire,Enseignement,929.219,7,1.0,0,Auvergne-Rhône-Alpes
6,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Entreprises,Tertiaire,Autres services personnels,83.288,2,1.0,0,Auvergne-Rhône-Alpes
7,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Petits professionels,Agriculture,0,2192.182,123,0.0533,0,Auvergne-Rhône-Alpes
8,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Petits professionels,Secteur Inconnu,0,11954.534,1633,0.129,0,Auvergne-Rhône-Alpes
9,Régie électrique communale d'Aussois,Résidentiel,Résidentiel,0,4645.0,1260,1.0,0,Auvergne-Rhône-Alpes
10,Régie électrique d'Avrieux,Entreprises,Tertiaire,Activités immobilières,24.0,1,1.0,0,Auvergne-Rhône-Alpes
11,Régie électrique de Bessans,Résidentiel,Résidentiel,0,6574.0,934,0.0,0,Auvergne-Rhône-Alpes
12,Régie électrique de Bonneval-sur-Arc,Petits professionels,Tertiaire,0,903.0,66,0.0,0,Auvergne-Rhône-Alpes
13,Régie électrique de Bonneval-sur-Arc,Résidentiel,Résidentiel,0,2186.0,248,0.0,0,Auvergne-Rhône-Alpes
14,Régie électrique de La Cabanasse,Entreprises,Tertiaire,Hébergement,218.0,1,1.0,0,Occitanie
15,Régie électrique de Sainte-Foy-Tarentaise,Résidentiel,Résidentiel,0,7410.871,1021,0.378,0,Auvergne-Rhône-Alpes
16,Régie électrique municipale de Fontpedrouse,Entreprises,Tertiaire,Autres services personnels,312.0,1,1.0,0,Occitanie
17,Régie électriques de Tignes,Entreprises,Industrie,Travaux de construction spécialisés,37.06,1,0.0,0,Auvergne-Rhône-Alpes
18,Régie intercommunale d'électricité de Niederbronn-Reichshoffen,Entreprises,Tertiaire,"Commerce de gros, à l'exception des automobiles et des motocycles",2179.872,1,1.0,0,Grand Est
19,Régie intercommunale d'électricité de Niederbronn-Reichshoffen,Entreprises,Tertiaire,Transports terrestres et transport par conduites,248.018,1,1.0,0,Grand Est
20,Régie intercommunale d'électricité de Niederbronn-Reichshoffen,Entreprises,Tertiaire,"Autres activités spécialisées, scientifiques et techniques",2699.46,2,1.0,0,Grand Est
21,Régie intercommunale d'électricité de Niederbronn-Reichshoffen,Entreprises,Tertiaire,Activités des organisations associatives,3.881,1,1.0,0,Grand Est
22,Régie Municipale Bazas-Energies,Petits professionels,Tertiaire,0,671.369,71,0.028,0,Nouvelle-Aquitaine
24,Régie municipale d'électricité d'Arignac,Petits professionels,Tertiaire,0,385.0,52,1.0,0,Occitanie
25,Régie municipale d'électricité de Clouange,Entreprises,Tertiaire,Réparation et installation de machines et d'équipements,241.452,1,0.911,0,Grand Est
26,Régie municipale d'électricité de Clouange,Entreprises,Tertiaire,"Commerce de gros, à l'exception des automobiles et des motocycles",108.401,1,0.859,0,Grand Est
27,Régie municipale d'électricité de Clouange,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",1665.381,4,0.98,0,Grand Est
28,Régie municipale d'électricité de Clouange,Entreprises,Secteur Inconnu,0,710.499,7,0.927,0,Grand Est
29,Régie municipale d'électricité de Clouange,Petits professionels,Tertiaire,0,204.059,51,0.49,0,Grand Est
30,Régie municipale d'électricité de l'Hospitalet Près L'Andorre,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",123.0,1,1.0,0,Occitanie
32,Régie municipale d'électricité de l'Hospitalet Près L'Andorre,Résidentiel,Résidentiel,0,256.0,83,1.0,0,Occitanie
33,Régie municipale d'électricité de La Bresse,Entreprises,Industrie,Industries alimentaires,394.482,2,1.0,0,Grand Est
34,Régie municipale d'électricité de La Bresse,Entreprises,Industrie,Fabrication d'autres produits minéraux non métalliques,2950.232,5,0.976,0,Grand Est
35,Régie municipale d'électricité de La Bresse,Entreprises,Tertiaire,Administration publique et défense ; sécurité sociale obligatoire,748.694,3,1.0,0,Grand Est
36,Régie municipale d'électricité de La Bresse,Entreprises,Tertiaire,Enseignement,80.673,1,1.0,0,Grand Est
37,Régie municipale d'électricité de La Bresse,Entreprises,Tertiaire,"Activités sportives, récréatives et de loisirs",72.914,1,1.0,0,Grand Est
38,Régie municipale d'électricité de La Bresse,Entreprises,Tertiaire,Autres services personnels,613.007,1,0.867,0,Grand Est
39,Régie municipale d'électricité de La Bresse,Entreprises,Secteur Inconnu,0,2123.034,7,0.99,0,Grand Est
40,Régie municipale d'électricité de Loos,Entreprises,Tertiaire,Transports terrestres et transport par conduites,227.362,2,1.0,0,Hauts-de-France
41,Régie municipale d'électricité de Loos,Entreprises,Tertiaire,"Activités des services financiers, hors assurance et caisses de retraite",47.206,1,1.0,0,Hauts-de-France
42,Régie municipale d'électricité de Loos,Entreprises,Tertiaire,Services relatifs aux bâtiments et aménagement paysager,167.541,1,1.0,0,Hauts-de-France
43,Régie municipale d'électricité de Loos,Entreprises,Tertiaire,Enseignement,2513.086,15,1.0,0,Hauts-de-France
44,Régie municipale d'électricité de Loos,Entreprises,Tertiaire,Activités pour la santé humaine,2190.78,6,1.0,0,Hauts-de-France
45,Régie municipale d'électricité de Loos,Entreprises,Tertiaire,Activités des organisations associatives,164.383,3,0.538,0,Hauts-de-France
46,Régie municipale d'électricité de Loos,Entreprises,Secteur Inconnu,0,1531.502,7,1.0,0,Hauts-de-France
47,Régie municipale d'électricité de Martres Tolosane,Résidentiel,Résidentiel,0,6952.0,1328,0.5,0,Occitanie
48,Régie municipale d'électricité de Mazeres,Entreprises,Industrie,Industries alimentaires,110.0,1,0.0,0,Occitanie
49,Régie municipale d'électricité de Mazeres,Entreprises,Industrie,Fabrication de textiles,252.0,1,0.0,0,Occitanie
50,Régie municipale d'électricité de Mazeres,Entreprises,Industrie,Métallurgie,1909.0,1,0.0,0,Occitanie
51,Régie municipale d'électricité de Mazeres,Entreprises,Tertiaire,Entreposage et services auxiliaires des transports,1128.0,1,0.0,0,Occitanie
52,Régie municipale d'électricité de Mazeres,Entreprises,Tertiaire,Hébergement,76.0,1,0.0,0,Occitanie
53,Régie municipale d'électricité de Mazeres,Entreprises,Tertiaire,Administration publique et défense ; sécurité sociale obligatoire,326.0,5,0.0,0,Occitanie
54,Régie municipale d'électricité de Mazeres,Entreprises,Secteur Inconnu,0,327.0,36,0.0,0,Occitanie
55,Régie municipale d'électricité de Mazeres,Petits professionels,Tertiaire,0,936.0,147,0.0,0,Occitanie
56,Régie municipale d'électricité de Mercus,Petits professionels,Tertiaire,0,664.0,106,1.0,0,Occitanie
57,Régie municipale d'électricité de Salins les Bains,Entreprises,Industrie,"Fabrication de produits métalliques, à l'exception des machines et des équipements",31.53,1,0.822,0,Bourgogne-Franche-Comté
58,Régie municipale d'électricité de Salins les Bains,Entreprises,Industrie,Construction de bâtiments,137.883,1,0.818,0,Bourgogne-Franche-Comté
59,Régie municipale d'électricité de Saverdun,Entreprises,Industrie,Industries alimentaires,1670.0,4,1.0,0,Occitanie
60,Régie municipale d'électricité de Saverdun,Entreprises,Industrie,Industrie chimique,21.0,1,1.0,0,Occitanie
61,Régie municipale d'électricité de Saverdun,Entreprises,Industrie,Métallurgie,141.0,1,1.0,0,Occitanie
62,Régie municipale d'électricité de Saverdun,Entreprises,Tertiaire,"Captage, traitement et distribution d'eau",2793.0,2,1.0,0,Occitanie
63,Régie municipale d'électricité de Saverdun,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",1542.0,5,1.0,0,Occitanie
64,Régie municipale d'électricité de Saverdun,Petits professionels,Tertiaire,0,2461.0,317,1.0,0,Occitanie
65,Régie municipale d'électricité de Saverdun,Résidentiel,Résidentiel,0,13196.0,2738,1.0,0,Occitanie
66,Régie municipale d'électricité de Tarascon sur Ariège,Entreprises,Tertiaire,"Collecte, traitement et élimination des déchets ; récupération",57.0,1,1.0,0,Occitanie
67,Régie municipale d'électricité de Tarascon sur Ariège,Entreprises,Tertiaire,Enseignement,121.0,1,1.0,0,Occitanie
68,Régie municipale d'électricité de Tarascon sur Ariège,Entreprises,Tertiaire,Activités pour la santé humaine,870.0,1,1.0,0,Occitanie
69,Régie municipale d'électricité de Varilhes,Petits professionels,Industrie,0,337.0,29,0.0,0,Occitanie
70,Régie municipale d'électricité de Varilhes,Résidentiel,Résidentiel,0,9945.0,2072,0.0,0,Occitanie
71,Régie municipale d'électricité de Vicdessos,Entreprises,Tertiaire,Hébergement,128.0,1,1.0,0,Occitanie
72,Régie municipale d'électricité de Vicdessos,Entreprises,Tertiaire,Activités des organisations associatives,21.0,1,1.0,0,Occitanie
73,Régie municipale d'électricité et de télédistribution de Marange-Silvange,Entreprises,Industrie,Génie civil,149.737,2,0.738,0,Grand Est
74,Régie municipale d'électricité et de télédistribution de Marange-Silvange,Entreprises,Secteur Inconnu,0,4175.534,26,0.931,0,Grand Est
75,Régie municipale d'électricité et de télédistribution de Talange,Entreprises,Industrie,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",292.312,1,0.998,0,Grand Est
76,Régie municipale d'électricité et de télédistribution de Talange,Entreprises,Tertiaire,Administration publique et défense ; sécurité sociale obligatoire,100.351,2,0.82,0,Grand Est
77,Régie municipale d'energie électrique de Quillan,Entreprises,Secteur Inconnu,0,3453.799,28,1.0,0,Occitanie
78,Régie municipale de Cazouls-les-Béziers,Résidentiel,Résidentiel,0,17265.0,2952,1.0,0,Occitanie
79,Régie municipale électrique Les Houches,Entreprises,Industrie,Travaux de construction spécialisés,233.258,1,0.0,0,Auvergne-Rhône-Alpes
80,Régie municipale électrique Les Houches,Entreprises,Secteur Inconnu,0,11177.035,82,0.918,0,Auvergne-Rhône-Alpes
81,Régie municipale gaz électricité de Bonneville,Entreprises,Industrie,Industrie chimique,1047.705,5,0.932,0,Auvergne-Rhône-Alpes
82,Régie municipale gaz électricité de Bonneville,Entreprises,Industrie,Fabrication d'équipements électriques,864.714,1,1.0,0,Auvergne-Rhône-Alpes
83,Régie municipale gaz électricité de Bonneville,Entreprises,Tertiaire,"Captage, traitement et distribution d'eau",437.169,1,0.904,0,Auvergne-Rhône-Alpes
84,Régie municipale gaz électricité de Bonneville,Entreprises,Tertiaire,Activités immobilières,398.992,6,0.857,0,Auvergne-Rhône-Alpes
85,Régie municipale gaz électricité de Bonneville,Entreprises,Tertiaire,Activités des sièges sociaux ; conseil de gestion,727.498,6,0.948,0,Auvergne-Rhône-Alpes
86,Régie municipale gaz électricité de Bonneville,Entreprises,Tertiaire,Activités administratives et autres activités de soutien aux entreprises,592.44,2,0.899,0,Auvergne-Rhône-Alpes
87,Régie municipale gaz électricité de Bonneville,Entreprises,Tertiaire,Administration publique et défense ; sécurité sociale obligatoire,798.734,8,0.892,0,Auvergne-Rhône-Alpes
88,Régie municipale gaz électricité de Bonneville,Entreprises,Tertiaire,Enseignement,487.631,2,0.929,0,Auvergne-Rhône-Alpes
89,Régie municipale gaz électricité de Bonneville,Petits professionels,Industrie,0,76.886,16,0.136,0,Auvergne-Rhône-Alpes
90,Régie municipale gaz électricité de Sallanches,Entreprises,Tertiaire,Restauration,1277.926,8,0.741,0,Auvergne-Rhône-Alpes
91,Régie municipale gaz électricité de Sallanches,Entreprises,Tertiaire,Activités immobilières,2090.239,26,0.862,0,Auvergne-Rhône-Alpes
92,Régie municipale gaz électricité de Sallanches,Entreprises,Tertiaire,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,1723.714,3,0.994,0,Auvergne-Rhône-Alpes
93,Régie municipale gaz électricité de Sallanches,Entreprises,Tertiaire,Enseignement,961.046,6,0.91,0,Auvergne-Rhône-Alpes
94,Régie municipale gaz électricité de Sallanches,Entreprises,Tertiaire,Activités pour la santé humaine,5578.307,3,0.999,0,Auvergne-Rhône-Alpes
95,Régie municipale gaz électricité de Sallanches,Entreprises,Tertiaire,Autres services personnels,6.538,1,0.0,0,Auvergne-Rhône-Alpes
96,Régie municipale gaz électricité de Sallanches,Petits professionels,Secteur Inconnu,0,11160.412,1118,0.583,0,Auvergne-Rhône-Alpes
97,Régie municipale multiservices de La Réole,Entreprises,Secteur Inconnu,0,22543.775,43,1.0,0,Nouvelle-Aquitaine
98,Régie municipale multiservices de La Réole,Petits professionels,Tertiaire,0,409.842,26,0.231,0,Nouvelle-Aquitaine
99,Régie municipale multiservices de La Réole,Résidentiel,Résidentiel,0,9437.008,2759,0.0217,0,Nouvelle-Aquitaine
100,Régie Services Energie,Entreprises,Industrie,Industries alimentaires,1427.565,10,0.958,0,Auvergne-Rhône-Alpes
101,Régie Services Energie,Entreprises,Industrie,Industrie du papier et du carton,194.216,2,0.911,0,Auvergne-Rhône-Alpes
102,Régie Services Energie,Entreprises,Industrie,Construction de bâtiments,83.092,1,0.876,0,Auvergne-Rhône-Alpes
103,Régie Services Energie,Entreprises,Tertiaire,Réparation et installation de machines et d'équipements,101.794,2,0.898,0,Auvergne-Rhône-Alpes
104,Régie Services Energie,Entreprises,Tertiaire,Commerce et réparation d'automobiles et de motocycles,77.166,1,0.878,0,Auvergne-Rhône-Alpes
105,Régie Services Energie,Entreprises,Tertiaire,"Commerce de gros, à l'exception des automobiles et des motocycles",4782.437,7,0.994,0,Auvergne-Rhône-Alpes
106,Régie Services Energie,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",2416.359,8,0.957,0,Auvergne-Rhône-Alpes
107,Régie Services Energie,Entreprises,Tertiaire,Hébergement,960.083,7,0.83,0,Auvergne-Rhône-Alpes
108,Régie Services Energie,Entreprises,Tertiaire,Restauration,1005.735,7,0.896,0,Auvergne-Rhône-Alpes
109,Régie Services Energie,Entreprises,Tertiaire,Télécommunications,64.232,1,0.869,0,Auvergne-Rhône-Alpes
110,Régie Services Energie,Entreprises,Tertiaire,Activités des sièges sociaux ; conseil de gestion,261.761,1,0.872,0,Auvergne-Rhône-Alpes
111,Régie Services Energie,Entreprises,Tertiaire,Enseignement,136.363,1,0.905,0,Auvergne-Rhône-Alpes
112,Régie Services Energie,Entreprises,Tertiaire,"Activités sportives, récréatives et de loisirs",189.231,3,0.902,0,Auvergne-Rhône-Alpes
113,Régie Services Energie,Petits professionels,Agriculture,0,362.923,24,0.589,0,Auvergne-Rhône-Alpes
114,Régie Services Energie,Petits professionels,Tertiaire,0,4641.956,400,0.295,0,Auvergne-Rhône-Alpes
115,Régie Services Energie,Petits professionels,Secteur Inconnu,0,1281.312,179,0.44,0,Auvergne-Rhône-Alpes
116,Régies municipales d'électricité de Cazeres,Entreprises,Tertiaire,Enseignement,177.0,1,0.5,0,Occitanie
117,Réséda,Entreprises,Industrie,Imprimerie et reproduction d'enregistrements,3589.994,5,1.0,0,Grand Est
118,Réséda,Entreprises,Industrie,Fabrication d'autres produits minéraux non métalliques,1569.39,10,0.985,0,Grand Est
119,Réséda,Entreprises,Industrie,Autres industries manufacturières,49.549,2,1.0,0,Grand Est
120,Réséda,Entreprises,Tertiaire,Restauration,20862.378,166,0.979,0,Grand Est
121,Réséda,Entreprises,Tertiaire,Recherche-développement scientifique,747.137,2,1.0,0,Grand Est
122,Réséda,Entreprises,Tertiaire,Enseignement,19214.268,54,0.999,0,Grand Est
123,Réséda,Entreprises,Tertiaire,"Bibliothèques, archives, musées et autres activités culturelles",1791.702,1,1.0,0,Grand Est
124,Réséda,Entreprises,Tertiaire,Organisation de jeux de hasard et d'argent,70.903,1,1.0,0,Grand Est
125,Réséda,Entreprises,Tertiaire,"Activités sportives, récréatives et de loisirs",3016.6,33,1.0,0,Grand Est
126,Réséda,Entreprises,Tertiaire,Autres services personnels,3034.583,21,1.0,0,Grand Est
127,Réséda,Petits professionels,Tertiaire,0,132194.262,17879,0.444,0,Grand Est
128,Réséda,Résidentiel,Résidentiel,0,602400.869,151828,0.486,0,Grand Est
129,RTE,Entreprises,Industrie,Industries alimentaires,66396.208,2,1.0,0,Île-de-France
130,RTE,Entreprises,Industrie,Cokéfaction et raffinage,35460.432,5,1.0,0,Île-de-France
131,RTE,Entreprises,Industrie,Industrie automobile,277611.98,3,1.0,0,Île-de-France
132,RTE,Entreprises,Tertiaire,Transports terrestres et transport par conduites,384831.115,47,1.0,0,Centre-Val de Loire
133,RTE,Entreprises,Industrie,Fabrication d'autres produits minéraux non métalliques,47764.126,2,1.0,0,Bourgogne-Franche-Comté
134,RTE,Entreprises,Industrie,Industrie du papier et du carton,328137.0,9,1.0,0,Normandie
135,RTE,Entreprises,Tertiaire,Télécommunications,56369.919,2,1.0,0,Normandie
136,RTE,Entreprises,Industrie,Industrie chimique,1348533.74,15,1.0,0,Hauts-de-France
137,RTE,Entreprises,Industrie,Fabrication de textiles,15686.848,1,1.0,0,Grand Est
138,RTE,Entreprises,Industrie,Fabrication d'autres produits minéraux non métalliques,415612.261,7,1.0,0,Grand Est
139,RTE,Entreprises,Tertiaire,Transports terrestres et transport par conduites,525846.151,28,1.0,0,Grand Est
140,RTE,Entreprises,Industrie,Industries alimentaires,29602.462,1,1.0,0,Pays de la Loire
141,RTE,Entreprises,Tertiaire,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,30778.699,1,1.0,0,Bretagne
142,RTE,Entreprises,Industrie,"Fabrication de produits informatiques, électroniques et optiques",8689.88,1,1.0,0,Nouvelle-Aquitaine
143,RTE,Entreprises,Industrie,Fabrication d'autres matériels de transport,19897.694,2,1.0,0,Nouvelle-Aquitaine
144,RTE,Entreprises,Industrie,Fabrication d'équipements électriques,4009.277,1,1.0,0,Occitanie
145,RTE,Entreprises,Industrie,Industries alimentaires,24464.296,1,1.0,0,Auvergne-Rhône-Alpes
146,RTE,Entreprises,Industrie,Cokéfaction et raffinage,434003.892,1,1.0,0,Auvergne-Rhône-Alpes
147,RTE,Entreprises,Industrie,Fabrication de produits en caoutchouc et en plastique,274079.575,6,1.0,0,Auvergne-Rhône-Alpes
148,RTE,Entreprises,Industrie,Fabrication d'équipements électriques,12273.373,3,1.0,0,Auvergne-Rhône-Alpes
149,RTE,Entreprises,Tertiaire,"Captage, traitement et distribution d'eau",28735.029,2,1.0,0,Auvergne-Rhône-Alpes
150,RTE,Entreprises,Tertiaire,"Commerce de gros, à l'exception des automobiles et des motocycles",4419.21,1,1.0,0,Auvergne-Rhône-Alpes
151,RTE,Entreprises,Industrie,Industrie chimique,3338216.472,8,1.0,0,Provence-Alpes-Côte d'Azur
152,RTE,Entreprises,Industrie,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",84789.588,4,1.0,0,Provence-Alpes-Côte d'Azur
153,RTE,Entreprises,Tertiaire,Télécommunications,1065.113,2,1.0,0,Provence-Alpes-Côte d'Azur
154,SAEML Hunelec,Entreprises,Industrie,Industries alimentaires,163.213,2,0.912,0,Grand Est
155,SAEML Hunelec,Entreprises,Tertiaire,Entreposage et services auxiliaires des transports,202.168,3,0.895,0,Grand Est
156,SAEML Hunelec,Entreprises,Tertiaire,Hébergement,73.224,1,0.894,0,Grand Est
157,SAEML Hunelec,Entreprises,Tertiaire,Activités immobilières,237.196,1,1.0,0,Grand Est
158,SAEML Hunelec,Entreprises,Tertiaire,Action sociale sans hébergement,83.096,1,0.899,0,Grand Est
159,SAEML Hunelec,Entreprises,Tertiaire,Activités des organisations associatives,42.159,2,0.917,0,Grand Est
160,SAEML Hunelec,Petits professionels,Tertiaire,0,2144.75,219,0.441,0,Grand Est
161,SAIC Pers Loisinges,Petits professionels,Secteur Inconnu,0,524.525,49,0.543,0,Auvergne-Rhône-Alpes
162,SEM Beauvois Distrelec,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",45.0,1,1.0,0,Hauts-de-France
163,SEM Beauvois Distrelec,Petits professionels,Secteur Inconnu,0,103.0,20,0.67,0,Hauts-de-France
164,SICAE de Carnin,Petits professionels,Tertiaire,0,161.0,11,1.0,0,Hauts-de-France
165,SICAE de l'Aisne,Petits professionels,Secteur Inconnu,0,4663.069,1160,0.0159,0,Hauts-de-France
166,SICAE de la Somme et du Cambraisis,Entreprises,Agriculture,0,33399.0,333,1.0,0,Hauts-de-France
167,SICAE de la Somme et du Cambraisis,Entreprises,Industrie,Fabrication de textiles,25882.0,4,1.0,0,Hauts-de-France
168,SICAE de la Somme et du Cambraisis,Entreprises,Industrie,Fabrication d'autres produits minéraux non métalliques,479.0,1,1.0,0,Hauts-de-France
169,SICAE de la Somme et du Cambraisis,Entreprises,Industrie,Travaux de construction spécialisés,134.0,2,1.0,0,Hauts-de-France
170,SICAE de la Somme et du Cambraisis,Entreprises,Tertiaire,Activités des sièges sociaux ; conseil de gestion,1.0,1,1.0,0,Hauts-de-France
171,SICAE de la Somme et du Cambraisis,Entreprises,Tertiaire,Administration publique et défense ; sécurité sociale obligatoire,5405.0,37,1.0,0,Hauts-de-France
172,SICAE de la Somme et du Cambraisis,Entreprises,Secteur Inconnu,0,6959.0,75,1.0,0,Hauts-de-France
173,SICAE de la Somme et du Cambraisis,Petits professionels,Industrie,0,1518.0,146,0.93,0,Hauts-de-France
174,SICAE de la vallée du Sausseron,Entreprises,Industrie,Industries alimentaires,224.0,2,1.0,0,Île-de-France
175,SICAE de la vallée du Sausseron,Entreprises,Industrie,Industrie chimique,474.0,1,1.0,0,Île-de-France
176,SICAE de la vallée du Sausseron,Entreprises,Industrie,Fabrication de meubles,54.0,1,1.0,0,Île-de-France
177,SICAE de la vallée du Sausseron,Entreprises,Tertiaire,"Captage, traitement et distribution d'eau",1685.0,2,1.0,0,Île-de-France
178,SICAE de la vallée du Sausseron,Entreprises,Tertiaire,Hébergement,321.0,3,1.0,0,Île-de-France
179,SICAE de la vallée du Sausseron,Entreprises,Tertiaire,"Activités sportives, récréatives et de loisirs",270.0,2,1.0,0,Île-de-France
180,SICAE de la vallée du Sausseron,Petits professionels,Industrie,0,687.0,26,1.0,0,Île-de-France
181,SICAE de la vallée du Sausseron,Petits professionels,Tertiaire,0,3984.0,351,1.0,0,Île-de-France
182,SICAE de la vallée du Sausseron,Petits professionels,Secteur Inconnu,0,2509.0,307,1.0,0,Île-de-France
183,SICAE de Precy-Saint-Martin,Entreprises,Agriculture,0,6876.348,45,0.916,0,Grand Est
184,SICAE de Precy-Saint-Martin,Entreprises,Industrie,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",954.112,2,0.986,0,Grand Est
185,SICAE de Precy-Saint-Martin,Entreprises,Industrie,Fabrication de machines et équipements n.c.a.,103.776,1,0.914,0,Grand Est
186,SICAE de Precy-Saint-Martin,Entreprises,Industrie,0,396.61,1,0.93,0,Grand Est
187,SICAE de Precy-Saint-Martin,Entreprises,Tertiaire,"Captage, traitement et distribution d'eau",105.786,1,1.0,0,Grand Est
188,SICAE de Precy-Saint-Martin,Entreprises,Tertiaire,Hébergement,78.966,1,1.0,0,Grand Est
189,SICAE de Precy-Saint-Martin,Entreprises,Tertiaire,Restauration,49.081,2,0.886,0,Grand Est
190,SICAE de Precy-Saint-Martin,Petits professionels,Industrie,0,365.639,32,0.349,0,Grand Est
191,SICAE de Precy-Saint-Martin,Résidentiel,Résidentiel,0,30643.498,3525,0.382,0,Grand Est
192,SICAE des cantons de la Ferté-Alais et limitrophes,Petits professionels,Industrie,0,65115.795,148,0.178,0,Île-de-France
193,SICAE des cantons de la Ferté-Alais et limitrophes,Petits professionels,Tertiaire,0,18557.134,726,0.155,0,Île-de-France
194,SICAE du Carmausin,Petits professionels,Industrie,0,306.732,14,0.0,0,Occitanie
195,SICAE du Carmausin,Petits professionels,Secteur Inconnu,0,3698.657,432,0.021,0,Occitanie
196,SICAE ELY,Entreprises,Secteur Inconnu,0,9557.819,67,0.998,0,Île-de-France
197,SICAE ELY,Petits professionels,Industrie,0,10888.699,42,0.722,0,Centre-Val de Loire
198,SICAE Est,Entreprises,Industrie,"Fabrication de produits métalliques, à l'exception des machines et des équipements",1213.07,2,1.0,0,Bourgogne-Franche-Comté
199,SICAE Est,Entreprises,Industrie,Travaux de construction spécialisés,83.484,4,1.0,0,Bourgogne-Franche-Comté
200,SICAE Est,Entreprises,Industrie,0,308.307,1,0.0,0,Bourgogne-Franche-Comté
201,SICAE Est,Entreprises,Tertiaire,"Commerce de gros, à l'exception des automobiles et des motocycles",898.857,14,0.987,0,Bourgogne-Franche-Comté
202,SICAE Est,Entreprises,Tertiaire,Restauration,1015.257,9,0.871,0,Bourgogne-Franche-Comté
203,SICAE Est,Entreprises,Tertiaire,Enseignement,183.128,2,0.731,0,Bourgogne-Franche-Comté
204,SICAE Est,Entreprises,Tertiaire,Action sociale sans hébergement,107.44,1,1.0,0,Bourgogne-Franche-Comté
207,SICAE Est,Entreprises,Agriculture,0,698.114,7,0.709,0,Grand Est
208,SICAE Est,Entreprises,Industrie,Industrie de l'habillement,16.334,1,1.0,0,Grand Est
209,SICAE Est,Entreprises,Industrie,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",182.008,3,1.0,0,Grand Est
210,SICAE Est,Entreprises,Industrie,Construction de bâtiments,89.89,1,1.0,0,Grand Est
211,SICAE Est,Entreprises,Industrie,Travaux de construction spécialisés,66.221,1,1.0,0,Grand Est
212,SICAE Est,Entreprises,Tertiaire,"Commerce de gros, à l'exception des automobiles et des motocycles",9.351,1,1.0,0,Grand Est
213,SICAE Est,Entreprises,Tertiaire,Activités auxiliaires de services financiers et d'assurance,111.261,1,1.0,0,Grand Est
214,SICAE Est,Entreprises,Tertiaire,Hébergement médico-social et social,82.869,1,0.0,0,Grand Est
215,SICAE Est,Petits professionels,Secteur Inconnu,0,4581.0,405,0.164,0,Grand Est
216,SICAE Est,Résidentiel,Résidentiel,0,30190.032,4891,0.301,0,Grand Est
217,SICAE Oise,Entreprises,Agriculture,0,5284.31,127,1.0,0,Hauts-de-France
218,SICAE Oise,Entreprises,Industrie,Fabrication de textiles,505.53,2,1.0,0,Hauts-de-France
219,SICAE Oise,Entreprises,Industrie,Fabrication de produits en caoutchouc et en plastique,16804.691,8,1.0,0,Hauts-de-France
220,SICAE Oise,Entreprises,Industrie,Industrie automobile,7840.654,1,1.0,0,Hauts-de-France
221,SICAE Oise,Entreprises,Tertiaire,"Captage, traitement et distribution d'eau",14603.365,63,1.0,0,Hauts-de-France
222,SICAE Oise,Entreprises,Tertiaire,Commerce et réparation d'automobiles et de motocycles,3514.294,27,1.0,0,Hauts-de-France
223,SICAE Oise,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",26140.71,59,1.0,0,Hauts-de-France
224,SICAE Oise,Entreprises,Tertiaire,Télécommunications,447.768,3,1.0,0,Hauts-de-France
225,SICAE Oise,Entreprises,Tertiaire,Activités des sièges sociaux ; conseil de gestion,1208.535,10,1.0,0,Hauts-de-France
226,SICAE Oise,Entreprises,Tertiaire,Recherche-développement scientifique,81.971,1,1.0,0,Hauts-de-France
227,SICAE Oise,Entreprises,Tertiaire,Administration publique et défense ; sécurité sociale obligatoire,7094.353,102,1.0,0,Hauts-de-France
228,SICAE Oise,Entreprises,Tertiaire,Hébergement médico-social et social,4937.027,19,1.0,0,Hauts-de-France
